airline,from,to,day,month,year,duration,age,gender,reason,stay,transit,connection,wait,ticket,checked_bags,carry_on
Alaska,GDL,SJC,5,7,2017,158,22,undisclosed,Business/Work,Short-term homestay,Pickup,False,0,First Class,3,True
Alaska,JFK,LAX,10,8,2016,511,21,undisclosed,Business/Work,Hotel,,True,470,Economy,0,False
Aeromexico,LAX,SJC,15,12,2017,351,90,male,Business/Work,Hotel,Own car,False,0,Economy,2,False
Alaska,PDX,GDL,6,2,2013,732,71,unspecified,On vacation/Pleasure,Hotel,Pickup,False,0,Economy,0,True
American Airlines,LAX,PDX,8,8,2019,666,69,unspecified,Business/Work,Short-term homestay,,True,389,Economy,3,True
Volaris,GDL,SJC,15,5,2019,211,79,undisclosed,Business/Work,Friend/Family,Mobility as a service,False,0,First Class,3,True
American Airlines,LAX,SJC,8,11,2019,810,43,male,Back Home,Home,Pickup,False,0,First Class,3,True
Volaris,SJC,JFK,17,2,2015,733,37,female,Business/Work,Short-term homestay,,True,75,Economy,3,True
Aeromexico,PDX,SJC,29,5,2022,959,39,male,Business/Work,Home,,True,703,Business,0,True
Volaris,GDL,SJC,23,5,2016,341,68,male,Business/Work,Home,Public Transportation,False,0,Economy,1,True
Volaris,PDX,LAX,6,1,2015,735,31,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0,First Class,3,False
Delta Airlines,JFK,GDL,9,1,2013,797,4,male,On vacation/Pleasure,Home,,True,544,First Class,0,True
Delta Airlines,JFK,GDL,15,11,2020,818,89,unspecified,Business/Work,Friend/Family,,True,584,Business,3,False
Volaris,JFK,GDL,19,12,2015,81,31,male,On vacation/Pleasure,Short-term homestay,,True,84,Economy,2,True
Alaska,PDX,LAX,22,3,2023,266,14,unspecified,Back Home,Home,Airport cab,False,0,First Class,0,False
Delta Airlines,GDL,LAX,23,12,2022,397,58,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0,First Class,0,False
Aeromexico,JFK,GDL,20,11,2019,101,30,undisclosed,Back Home,Home,Airport cab,False,0,First Class,1,True
Alaska,LAX,GDL,28,7,2015,557,41,female,Business/Work,Friend/Family,,True,70,Business,0,False
